Kinase,Substrate,cdf_x,INVLog2FoldChange,Substrate_effect,Phosphosite,Log2FoldChange,TotalWalks_x,cdf_y,TotalWalks_y,Change (%)
BRSK2,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,12563,0.9982668977469622,14402,14.638223354294368
BRSK1,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,12427,0.9982668977469622,14515,16.802124406534176
FYN,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,1168,0.9670710571923697,2922,150.17123287671234
FYN,ABL1,0.9601386481802381,-6893.5,+,Y393,6893.5,1245,0.9601386481802381,2897,132.6907630522088
ABL1,PTPN11,0.9913344887348305,-9732.666666666668,+,Y546,9732.666666666668,562,0.9913344887348305,4920,775.4448398576512
ABL1,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,1478,0.9670710571923697,6121,314.1407307171854
ABL1,ABL1,0.9601386481802381,-6893.5,+,Y393,6893.5,1341,0.9601386481802381,4917,266.66666666666663
ABL1,BTK,0.8630849220103949,-4427.0,+,Y223,4427.0,1493,0.8630849220103949,3843,157.4012056262559
ABL1,CTNNB1,0.7538994800693213,-3166.6666666666665,+,Y489,3166.6666666666665,573,0.7538994800693213,1516,164.57242582897032
ABL1,TP73,0.5649913344887336,-1756.8333333333335,,Y99,1756.8333333333335,595,0.5649913344887336,762,28.067226890756302
CDK2,NPM1,0.9861351819757318,-8597.166666666666,-,T199,8597.166666666666,1316,0.9861351819757318,2361,79.40729483282675
CDK2,PTPN2,0.9740034662045014,-7593.666666666667,,S304,7593.666666666667,1282,0.9740034662045014,2075,61.856474258970366
CDK2,HMGA1,0.9376083188908102,-6236.833333333334,,T53,6236.833333333334,1350,0.9376083188908102,1801,33.40740740740739
CDK1,NPM1,0.9861351819757318,-8597.166666666666,-,T199,8597.166666666666,521,0.9861351819757318,897,72.16890595009596
CDK1,PTPN2,0.9740034662045014,-7593.666666666667,,S304,7593.666666666667,533,0.9740034662045014,683,28.142589118198856
CDK1,HMGA1,0.9376083188908102,-6236.833333333334,,T53,6236.833333333334,465,0.9376083188908102,627,34.83870967741936
CDK1,MEF2C,0.9116117850953165,-5522.333333333334,,S396,5522.333333333334,493,0.9116117850953165,538,9.127789046653149
CDK6,NPM1,0.9861351819757318,-8597.166666666666,-,T199,8597.166666666666,4340,0.9861351819757318,5102,17.557603686635943
PRKACA,WT1,0.982668977469666,-8254.666666666668,,S365,8254.666666666668,149,0.982668977469666,1260,745.6375838926174
PRKACA,ACLY,0.9722703639514685,-7333.999999999999,+,S455,7333.999999999999,132,0.9722703639514685,1134,759.0909090909091
PRKACA,RAF1,0.7920277296360454,-3504.0,-,S259,3504.0,118,0.7920277296360454,484,310.1694915254237
PRKACA,ALOX5,0.7227036395147288,-2866.1666666666665,,S272,2866.1666666666665,137,0.7227036395147288,407,197.08029197080293
PRKACA,PRKACA,0.7123050259965313,-2717.1666666666665,+,T198,2717.1666666666665,659,0.7123050259965313,1238,87.86039453717754
PRKACA,GSK3A,0.6845753899480047,-2537.5,-,S21,2537.5,150,0.6845753899480047,360,140.0
PRKACA,CREB1,0.6603119584055439,-2347.6250000000005,+,S133,2347.6250000000005,132,0.6603119584055439,315,138.63636363636363
PRKACA,HMGCR,0.5875216637781615,-1828.166666666666,,S872,1828.166666666666,148,0.5875216637781615,249,68.24324324324326
PRKACA,MAPT,0.577123050259964,-1796.1666666666665,,T529,1796.1666666666665,159,0.577123050259964,253,59.119496855345915
PRKACA,RPS6,0.5337954939341412,-1548.4166666666665,,S236,1548.4166666666665,138,0.5337954939341412,220,59.42028985507247
AKT1,ACLY,0.9722703639514685,-7333.999999999999,+,S455,7333.999999999999,8649,0.9722703639514685,29029,235.6341773615447
AKT1,FOXO1,0.8509532062391645,-4318.666666666667,-,S256,4318.666666666667,8849,0.8509532062391645,16703,88.75579161487173
AKT1,EIF4EBP1,0.7954939341421112,-3509.3333333333335,-,T37,3509.3333333333335,8781,0.7954939341421112,13505,53.7979728960255
AKT1,RAF1,0.7920277296360454,-3504.0,-,S259,3504.0,8612,0.7920277296360454,13369,55.236878773803994
AKT1,MAP2K4,0.7452339688041567,-3027.6666666666665,-,S80,3027.6666666666665,8487,0.7452339688041567,11336,33.568987863791676
AKT1,GSK3A,0.6845753899480047,-2537.5,-,S21,2537.5,8697,0.6845753899480047,9434,8.474186501092333
MAPK8,TP53,0.9705372616984356,-7041.5,+,S20,7041.5,14605,0.9705372616984356,41231,182.307428962684
MAPK8,IRS1,0.9168110918544152,-5535.666666666666,,S636,5535.666666666666,14633,0.9168110918544152,32104,119.39451923734029
CHEK1,TP53,0.9705372616984356,-7041.5,+,T18,7041.5,1555,0.9705372616984356,2275,46.30225080385853
ATM,TP53,0.9705372616984356,-7041.5,+,S20,7041.5,675,0.9705372616984356,1181,74.96296296296296
PRKCD,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,6217,0.9670710571923697,24632,296.20395689239183
PRKCD,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,5266,0.9653379549393368,32153,510.5772882643373
PRKCD,GSK3A,0.6845753899480047,-2537.5,-,S21,2537.5,5514,0.6845753899480047,11038,100.18135654697136
PRKCD,RPS6,0.5337954939341412,-1548.4166666666665,,S236,1548.4166666666665,5267,0.5337954939341412,6641,26.08695652173914
EGFR,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,2649,0.9670710571923697,7195,171.6119290298226
EGFR,EGFR,0.8492201039861316,-4242.166666666667,+,Y869,4242.166666666667,2127,0.8492201039861316,3223,51.52797367183828
EGFR,PLCG1,0.8076256499133416,-3768.166666666667,+,Y783,3768.166666666667,491,0.8076256499133416,983,100.20366598778003
EGFR,PPP2CA,0.738301559792025,-2926.8333333333335,,Y307,2926.8333333333335,492,0.738301559792025,765,55.48780487804879
PDGFRA,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,12349,0.9670710571923697,14047,13.750101222771065
YES1,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,12492,0.9670710571923697,13939,11.583413384566114
LCK,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,995,0.9670710571923697,2781,179.4974874371859
LCK,MAPK1,0.7642980935875188,-3209.1666666666665,+,Y187,3209.1666666666665,1060,0.7642980935875188,1242,17.169811320754718
LCK,SYK,0.7556325823223542,-3168.0000000000005,+,Y323,3168.0000000000005,1032,0.7556325823223542,1246,20.73643410852712
NUAK1,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,9721,0.9653379549393368,17967,84.82666392346468
MAPK14,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,3862,0.9653379549393368,24170,525.8415328845158
MAPK14,EIF4EBP1,0.7954939341421112,-3509.3333333333335,-,T37,3509.3333333333335,3885,0.7954939341421112,11637,199.53667953667951
MAPK14,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,4599,0.7902946273830125,11696,154.31615568601867
MAPK14,HNF4A,0.7001733102253009,-2631.666666666668,,S167,2631.666666666668,3965,0.7001733102253009,8640,117.90668348045398
MAPK14,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,4763,0.6256499133448856,7536,58.219609489817344
MAPK14,HSF1,0.5511265164644703,-1684.3333333333335,-,S303,1684.3333333333335,3848,0.5511265164644703,5334,38.61746361746361
MAPK14,ETV6,0.5441941074523386,-1669.0,,S22,1669.0,3941,0.5441941074523386,5136,30.322253235219478
MAPK1,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,1008,0.9653379549393368,5726,468.05555555555554
MAPK1,IRS1,0.9168110918544152,-5535.666666666666,,S636,5535.666666666666,1042,0.9168110918544152,4502,332.0537428023033
MAPK1,ELK1,0.819757365684572,-3875.833333333333,+,S324,3875.833333333333,998,0.819757365684572,3050,205.6112224448898
MAPK1,KCND2,0.8041594454072758,-3633.5,,T607,3633.5,1035,0.8041594454072758,2905,180.67632850241546
MAPK1,EIF4EBP1,0.7954939341421112,-3509.3333333333335,-,T46,3509.3333333333335,1057,0.7954939341421112,2810,165.84673604541155
MAPK1,ERF,0.7694974003466175,-3233.333333333333,,T526,3233.333333333333,953,0.7694974003466175,2536,166.10703043022033
MAPK1,MAPK1,0.7642980935875188,-3209.1666666666665,+,T185,3209.1666666666665,1512,0.7642980935875188,3195,111.30952380952382
MAPK1,RPS6KB1,0.75909878682842,-3185.8333333333335,+,T444,3185.8333333333335,1457,0.75909878682842,3408,133.90528483184627
MAPK1,HSF1,0.5511265164644703,-1684.3333333333335,-,S303,1684.3333333333335,1015,0.5511265164644703,1259,24.039408866995075
DYRK1A,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,2109,0.9653379549393368,5681,169.3693693693694
DYRK1A,DYRK1A,0.8890814558058886,-4939.5,+,Y321,4939.5,4106,0.8890814558058886,5758,40.23380418899171
BTK,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,9477,0.9653379549393368,15799,66.70887411628152
BTK,PLCG2,0.9098786828422836,-5448.0,+,Y753,5448.0,9367,0.9098786828422836,12378,32.144763531546914
BTK,DOK3,0.8838821490467899,-4812.666666666667,,Y398,4812.666666666667,9581,0.8838821490467899,10627,10.917440768187035
MAPK3,TP53,0.9653379549393368,-6978.333333333333,+,S15,6978.333333333333,954,0.9653379549393368,3738,291.82389937106916
MAPK3,ELK1,0.819757365684572,-3875.833333333333,+,S324,3875.833333333333,952,0.819757365684572,2065,116.91176470588235
MAPK3,KCND2,0.8041594454072758,-3633.5,,T602,3633.5,1013,0.8041594454072758,1881,85.68608094768015
MAPK3,EIF4EBP1,0.7954939341421112,-3509.3333333333335,-,T46,3509.3333333333335,1003,0.7954939341421112,1836,83.05084745762713
MAPK3,ERF,0.7694974003466175,-3233.333333333333,,T526,3233.333333333333,950,0.7694974003466175,1690,77.89473684210526
MAPK3,RPS6KB1,0.75909878682842,-3185.8333333333335,+,T444,3185.8333333333335,1491,0.75909878682842,2625,76.05633802816902
MAPK3,MAPK3,0.6932409012131693,-2574.666666666667,+,T202,2574.666666666667,1402,0.6932409012131693,1945,38.73038516405137
HCK,ABL1,0.9601386481802381,-6893.5,+,Y393,6893.5,3114,0.9601386481802381,5998,92.61400128452152
SYK,C9orf78,0.9480069324090077,-6682.666666666668,,Y147,6682.666666666668,691,0.9480069324090077,1855,168.45151953690305
SYK,LCK,0.880415944540724,-4773.833333333333,-,Y192,4773.833333333333,671,0.880415944540724,1394,107.74962742175856
SYK,PLCG1,0.8076256499133416,-3768.166666666667,+,Y783,3768.166666666667,654,0.8076256499133416,959,46.636085626911296
SYK,SYK,0.7556325823223542,-3168.0000000000005,+,Y323,3168.0000000000005,2091,0.7556325823223542,2597,24.19894787183165
STK38L,NUAK1,0.9185441941074481,-5565.166666666667,+,T211,5565.166666666667,12486,0.9185441941074481,14360,15.008809867051085
RPS6KB1,IRS1,0.9168110918544152,-5535.666666666666,-,S639,5535.666666666666,2872,0.9168110918544152,10917,280.1183844011142
FER,PTK2,0.8942807625649873,-5083.999999999999,+,Y577,5083.999999999999,6186,0.8942807625649873,9319,50.64662140316844
MAP3K1,MAP2K7,0.8925476603119544,-5041.333333333332,+,T275,5041.333333333332,4178,0.8925476603119544,8970,114.69602680708473
MAP2K7,MAPK8,0.537261698440207,-1598.1666666666665,+,Y185,1598.1666666666665,57648,0.537261698440207,71321,23.718082153760747
MAP3K5,MAP2K7,0.8925476603119544,-5041.333333333332,+,T275,5041.333333333332,2821,0.8925476603119544,4162,47.53633463310882
MAP3K3,MAP2K7,0.8925476603119544,-5041.333333333332,+,T275,5041.333333333332,12309,0.8925476603119544,13059,6.093102607847925
MAP3K2,MAP2K7,0.8925476603119544,-5041.333333333332,+,T275,5041.333333333332,12396,0.8925476603119544,13228,6.711842529848326
MAP3K12,MAP2K7,0.8925476603119544,-5041.333333333332,+,T275,5041.333333333332,6187,0.8925476603119544,11344,83.35219007596572
EPHB2,PTK2,0.8769497400346582,-4693.166666666667,+,Y397,4693.166666666667,12462,0.8769497400346582,14079,12.975445353875784
FGFR2,PTK2,0.8769497400346582,-4693.166666666667,+,Y397,4693.166666666667,6378,0.8769497400346582,11464,79.7428661022264
ITK,BTK,0.8630849220103949,-4427.0,+,Y223,4427.0,6857,0.8630849220103949,7926,15.589908123085891
TEC,BTK,0.8630849220103949,-4427.0,+,Y223,4427.0,12398,0.8630849220103949,14142,14.066784965316998
PIK3CD,BTK,0.8630849220103949,-4427.0,+,Y223,4427.0,12367,0.8630849220103949,14032,13.463248969030488
IRAK4,IRAK4,0.859618717504329,-4419.0,+,T345,4419.0,6253,0.859618717504329,9970,59.443467135774824
PAK1,FOXO1,0.8509532062391645,-4318.666666666667,-,S256,4318.666666666667,177,0.8509532062391645,961,442.9378531073446
PAK1,SYN1,0.6065857885615236,-1873.333333333334,,S605,1873.333333333334,154,0.6065857885615236,418,171.42857142857144
PAK1,PAK1,0.5389948006932399,-1618.000000000001,+,S144,1618.000000000001,1391,0.5389948006932399,1959,40.83393242271745
PAK1,LIMK1,0.4280762564991331,-1136.833333333334,+,T508,1136.833333333334,174,0.4280762564991331,243,39.65517241379311
PRKCA,LMNA,0.8422876949739999,-4222.499999999999,,T19,4222.499999999999,667,0.8422876949739999,1781,167.01649175412297
PRKCA,GSK3A,0.6845753899480047,-2537.5,-,S21,2537.5,663,0.6845753899480047,1005,51.583710407239806
PRKCA,CREB1,0.6603119584055439,-2347.6250000000005,+,S133,2347.6250000000005,641,0.6603119584055439,931,45.24180967238689
PRKCA,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,1582,0.6256499133448856,2109,33.312262958280655
PRKCA,HMGCR,0.5875216637781615,-1828.166666666666,,S872,1828.166666666666,662,0.5875216637781615,776,17.220543806646532
LATS1,LATS1,0.8284228769497366,-3919.1666666666665,+,S909,3919.1666666666665,18609,0.8284228769497366,21511,15.594604761137077
LATS1,RAF1,0.7920277296360454,-3504.0,-,S259,3504.0,28356,0.7920277296360454,33651,18.673296656792203
LATS2,LATS1,0.8284228769497366,-3919.1666666666665,+,S909,3919.1666666666665,12319,0.8284228769497366,13621,10.569039694780429
STK3,LATS1,0.8284228769497366,-3919.1666666666665,+,S909,3919.1666666666665,12305,0.8284228769497366,13701,11.34498171475009
PBK,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,6539,0.7902946273830125,11070,69.29194066371005
MAP3K6,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,6121,0.7902946273830125,9191,50.15520339813756
MAP2K3,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,6146,0.7902946273830125,9497,54.523267165636184
MAP2K4,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,18493,0.7902946273830125,22174,19.904828854161025
MAP2K6,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,4110,0.7902946273830125,7207,75.35279805352798
JAK2,RAF1,0.7677642980935846,-3226.666666666667,+,Y341,3226.666666666667,4980,0.7677642980935846,5687,14.196787148594382
JAK2,MAPK1,0.7642980935875188,-3209.1666666666665,+,Y187,3209.1666666666665,4889,0.7642980935875188,5598,14.501943137655957
MAP2K2,MAPK1,0.7642980935875188,-3209.1666666666665,+,Y187,3209.1666666666665,6179,0.7642980935875188,7394,19.663375950801097
MAP2K1,MAPK1,0.7642980935875188,-3209.1666666666665,+,T185,3209.1666666666665,7880,0.7642980935875188,9546,21.142131979695435
TBK1,RPS6KB1,0.75909878682842,-3185.8333333333335,+,T444,3185.8333333333335,6170,0.75909878682842,8114,31.507293354943272
CDK9,CDK9,0.7417677642980909,-2952.9999999999995,+,S347,2952.9999999999995,6285,0.7417677642980909,8968,42.688941925218785
CDK9,MBP,0.42114384748700145,-1110.1666666666667,,T232,1110.1666666666667,6285,0.42114384748700145,8968,42.688941925218785
PDPK1,PRKACA,0.7123050259965313,-2717.1666666666665,+,T198,2717.1666666666665,2542,0.7123050259965313,4377,72.18725413060582
PDPK1,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,2557,0.6256499133448856,3152,23.269456394211957
PDPK1,PDPK1,0.618717504332754,-1951.166666666666,+,S241,1951.166666666666,2061,0.618717504332754,2462,19.45657447840854
FES,PECAM1,0.6949740034662022,-2608.1666666666665,+,Y713,2608.1666666666665,2089,0.6949740034662022,5379,157.491622786022
FES,FES,0.6273830155979185,-2069.9999999999995,,S716,2069.9999999999995,4195,0.6273830155979185,5574,32.87246722288438
CDK20,CILK1,0.6915077989601364,-2548.833333333333,+,T157,2548.833333333333,6257,0.6915077989601364,8603,37.49400671248202
CILK1,CILK1,0.39168110918544174,-990.3333333333333,+,Y159,990.3333333333333,11316,0.39168110918544174,16114,42.4001413927183
CDK7,CILK1,0.6915077989601364,-2548.833333333333,+,T157,2548.833333333333,5696,0.6915077989601364,7992,40.308988764044926
PRKCB,GSK3A,0.6845753899480047,-2537.5,-,S21,2537.5,3179,0.6845753899480047,4563,43.535703051274
PRKCB,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,5152,0.6256499133448856,6311,22.496118012422357
PRKD1,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,3072,0.6256499133448856,4864,58.333333333333314
PRKCE,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,4191,0.6256499133448856,4969,18.56358864232881
PTK2B,PTK2B,0.6429809358752148,-2230.4999999999995,+,Y579,2230.4999999999995,4210,0.6429809358752148,8837,109.90498812351547
PTK2B,PXN,0.277296360485269,-649.1666666666661,+,Y118,649.1666666666661,2221,0.277296360485269,7064,218.05493021161635
MAPKAPK5,AKT1,0.6256499133448856,-2030.8333333333335,+,S473,2030.8333333333335,4052,0.6256499133448856,7094,75.0740375123396
PAK3,RAF1,0.37435008665511255,-952.666666666667,+,S338,952.666666666667,3170,0.37435008665511255,3806,20.06309148264984
NTRK1,NTRK1,0.5857885615251286,-1811.333333333334,+,Y681,1811.333333333334,6210,0.5857885615251286,9692,56.0708534621578
NTRK1,CTNNB1,0.16984402079722724,-311.33333333333303,+,Y654,311.33333333333303,6210,0.16984402079722724,9692,56.0708534621578
STK4,STK4,0.5719237435008653,-1791.833333333333,,T187,1791.833333333333,6271,0.5719237435008653,10699,70.61074788709936
ERBB3,PLCG1,0.40034662045060637,-1034.6666666666665,+,Y771,1034.6666666666665,6163,0.40034662045060637,8879,44.06944669803667
MAPK14,TP53,0.9980582524271845,19815.0,+,S392,-19815.0,8670,0.9980582524271845,96790,-1016.3783160322953
MAPK14,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,8554,0.9262135922330097,29549,-245.44072948328267
MAPK14,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,9260,0.8796116504854368,18682,-101.74946004319656
LCK,SHC1,0.9864077669902913,12072.333333333328,,Y427,-12072.333333333328,2656,0.9864077669902913,7562,-184.7138554216868
LCK,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,4415,0.9048543689320389,6137,-39.00339750849378
LCK,ZAP70,0.8660194174757281,3691.999999999999,+,Y493,-3691.999999999999,4421,0.8660194174757281,4737,-7.147704139334991
FYN,SHC1,0.9864077669902913,12072.333333333328,,Y427,-12072.333333333328,508,0.9864077669902913,7417,-1360.0393700787401
FYN,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,2116,0.9048543689320389,6630,-213.32703213610586
FYN,FYN,0.8427184466019416,3338.000000000001,+,Y420,-3338.000000000001,1866,0.8427184466019416,3904,-109.21757770632371
FYN,TGM2,0.6504854368932044,1452.6666666666665,,Y369,-1452.6666666666665,545,0.6504854368932044,881,-61.651376146789005
INSR,SHC1,0.9864077669902913,12072.333333333328,,Y427,-12072.333333333328,560,0.9864077669902913,767,-36.96428571428572
MAP3K8,MAP2K3,0.9844660194174757,11749.0,+,S218,-11749.0,5424,0.9844660194174757,14044,-158.92330383480828
MAP2K3,MAP2K3,0.9844660194174757,11749.0,+,S218,-11749.0,21858,0.9844660194174757,84418,-286.21099826150606
MAP2K3,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,28043,0.8796116504854368,82572,-194.44781228827156
MAP2K3,MAPK11,0.6737864077669905,1610.0000000000005,+,Y182,-1610.0000000000005,28027,0.6737864077669905,31875,-13.72961786848397
MAP3K5,MAP2K3,0.9844660194174757,11749.0,+,S218,-11749.0,42842,0.9844660194174757,56906,-32.827599085010036
MAP3K3,MAP2K3,0.9844660194174757,11749.0,+,S218,-11749.0,15956,0.9844660194174757,19352,-21.2835297066934
MAP3K11,MAP2K3,0.9844660194174757,11749.0,+,S218,-11749.0,16141,0.9844660194174757,18958,-17.452450281890847
MAPK1,PRKCA,0.7786407766990289,2401.833333333332,+,T638,-2401.833333333332,703,0.7786407766990289,1034,-47.08392603129445
PRKCQ,PTPN7,0.9611650485436893,8412.500000000002,,S44,-8412.500000000002,1953,0.9611650485436893,5585,-185.9703020993344
MAPK9,NFATC4,0.9495145631067962,7478.1666666666715,,S217,-7478.1666666666715,1746,0.9495145631067962,9574,-448.33906071019476
MAPK9,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,1632,0.9262135922330097,7919,-385.2328431372549
MAPK9,RXRA,0.8601941747572814,3551.833333333333,,S260,-3551.833333333333,1745,0.8601941747572814,4427,-153.69627507163327
MAPK9,MAPK9,0.7553398058252424,2266.5,+,T183,-2266.5,2876,0.7553398058252424,4075,-41.68984700973576
MAPK9,FOS,0.6407766990291268,1412.4166666666667,+,T232,-1412.4166666666667,1598,0.6407766990291268,1730,-8.260325406758454
JAK2,EGFR,0.941747572815534,6926.333333333332,+,Y1069,-6926.333333333332,4044,0.941747572815534,10426,-157.81404549950543
EGFR,EGFR,0.941747572815534,6926.333333333332,+,Y1069,-6926.333333333332,2761,0.941747572815534,10542,-281.8181818181818
EGFR,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,3294,0.9048543689320389,11470,-248.20886460230724
EGFR,STAT1,0.8990291262135922,4386.444444444443,+,Y701,-4386.444444444443,997,0.8990291262135922,6156,-517.4523570712136
EGFR,ERBB2,0.7320388349514562,2068.8333333333335,+,Y1248,-2068.8333333333335,3386,0.7320388349514562,4727,-39.60425280567043
EGFR,GAB1,0.4932038834951473,878.0,,Y406,-878.0,1034,0.4932038834951473,1136,-9.86460348162477
EPHA4,EPHA4,0.9398058252427185,6568.0,,Y602,-6568.0,8014,0.9398058252427185,15250,-90.29198901921637
EPHA4,CDK5,0.4194174757281579,733.5,-,Y15,-733.5,8014,0.4194174757281579,15250,-90.29198901921637
RPS6KA5,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,4402,0.9262135922330097,8859,-101.24943207632896
PRKCD,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,31990,0.9262135922330097,124780,-290.05939356048765
PRKCD,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,26252,0.9048543689320389,61000,-132.3632485143989
MAPKAPK2,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,2379,0.9262135922330097,6411,-169.4829760403531
MTOR,STAT3,0.9262135922330097,6184.166666666668,+,S727,-6184.166666666668,13474,0.9262135922330097,16513,-22.554549502746028
FRK,FRK,0.9184466019417475,5919.333333333334,+,Y387,-5919.333333333334,5488,0.9184466019417475,13309,-142.51093294460642
FRK,FOS,0.6407766990291268,1412.4166666666667,+,T232,-1412.4166666666667,2730,0.6407766990291268,9636,-252.96703296703294
