Antibody Code,Antibody Name,Target Name,Pan or P-Site,Antibody Type,Target Full Name,Target Uniprot ID,Target Refseq ID
3361,,CaMK2a (CaMKII),T286,,,Q9UQM7,
3531,,Btk,Y223,,,Q06187,
36-5500,,IRAK4,Pan-specific,,,Q9NWZ3,
36-8900,,GAP43,S41,,,P07936,
36-9200,,Paxillin 2 (Pax2),S398,,,P49023,
44-1008,,PDGFRA,Y754,,,P16234,
44-1100G,,PRAS40,T246,,,Q96B36,
44-200,,Arrestin b,S412,,,P49407,
44-202,,GRK2 (BARK1; ADRBK1),S670,,,P25098,
44-220,,BLNK,Y84,,,Q8WV28,
44-280G,,Fos,T232,,,P01100,
44-406G,,JAK2,Pan-specific,,,O60674,
44-458,,MEK1 (MAP2K1; MKK1),T292,,,Q02750,
44-468G,,MEK2 (MAP2K2; MKK2) mouse,T394,,,P36507,
44-492,,Kit,Y703,,,P10721,
44-496,,Kit,Y730,,,P10721,
44-516G,,MAPKAPK2 (RPS6KC1),T334,,,P49137,
44-526,,eIF4G (eIF4G1),S1107,,,Q04637,
44-534G,,HSP27 (HSP28; HSPB1),S82,,,P04792,
44-572,,Rb (RB1),S612,,,P06400,
44-578,,Rb (RB1),T356,,,P06400,
44-582G,,Rb (RB1),T821,,,P06400,
44-596G,,FAK,S910,,,Q05397,
44-610,,GSK3b,Pan-specific,,,P49841,
44-640G,,TP53 (p53),S392,,Cellular tumor antigen p53,P04637,NP_000537.3
44-660G,,Src,Y419,,,P12931,
44-662G,,Src,Y529,,,P12931,
44-686G,,CDK1 (CDC2),Y14+Y15,,,P06493,
44-720G,,Paxillin 1 (PXN),Y31,,,P49023,
44-722,,Paxillin 1 (PXN),Y118,,,P49023,
44-722G,,Paxillin 1,Y118,,,P49023,
44-734G,,Tau (MAPT),S516,,,P10636,
44-758G,,Tau,S404,,,P10636,
44-804G,,InsR (IR),Y1189,,,P06213,
44-816G,,IRS1,Y612,,,P35568,
44-844G,,Lck,Y192,,,P06239,
44-850G,,LCK,T505,,,P06239,
44-864,,Integrin a4 - pS1021,S1021,,,P13612,
44-926G,,RSK1 (RPS6KA1; p90RSK),S363/S369,,,Q15418,
44-928G,,RSK1 (RPS6KA1; p90RSK),S380+S386,,,Q15418,
44-936,,MLK3 (MAP3K11),T277+S281,,,Q16584,
44-956,,PKCg (PRKCG),T514,,,P05129,
44-961G,,PKD1 (PRKCM; PKCm; PRKD1),S738+S742,,,Q15139,
44-965,,PKCg (PRKCG),T655,,,P05129,
44-968G,,PKCi (PRKCiota)/PKCl (PRKClambda),T564,,,P41743,
44-969,,PKCh (PRKCH; PRKCeta),T656,,,P24723,
44-976G,,PKCd,S664,,,Q05655,
44-992G,,PKA Cb,S338,,,P22694,
600-401-264,,NFKB p65 (Rel A),S276,,,Q04206,
610087,,FAK,Pan-specific,,,Q05397,
610110,,InsR (IR),Pan-specific,,,P06213,
610122,,MEK1 (MAP2K1; MKK1),Pan-specific,,,Q02750,
610145,,CDK2,Pan-specific,,,P24941,
610151,,c-Raf,Pan-specific,,,P04049,
610204,,COX2,Pan-specific,,,P00403,
610236,,MEK2,Pan-specific,,,P36507,
610270,,eIF4E,Pan-specific,,,P06730,
610547,,DUSP3 (VHR),Pan-specific,,,P51452,
610551,,Arrestin b,Pan-specific,,,P49407,
610651,,RAC1,Pan-specific,,,P63000,
610745,,Ron (RONa; MST1R),Pan-specific,,,Q04912,
610981,,PRKACA (PKA),Pan-specific,,,P17612,
611137,,ROCK1 (ROKb),Pan-specific,,,Q13464,
612145,,Cofilin 1 (CFL1),Pan-specific,,,P23528,
612349,,RIPK2 (RICK; RIP2; CARD3),Pan-specific,,,O43353,
71-2300,,IKKa (IkBKA),Pan-specific,,,O15111,
71-3700,,Nek2,Pan-specific,,,P51955,
9102,,ERK1/2,Pan-specific,,,P27361,
9111,,CDK1 (CDC2),Y15,,,P06493,
9121,,MEK1 (MAP2K1; MKK1),S217+S221,,,Q02750,
9145S,,STAT3,T705,,,P40763,
9204,,p70S6K (S6Ka; RPS6KB1),T421+S424,,,P23443,
9205L,,p70S6K (S6Ka; RPS6KB1),T412,,,P23443,
9211,,p38a MAPK (MAPK14; CSBP; MXI2; SAPK2a),T180+Y182,,,Q16539,
9222,,ATF2 (CRE-BP1),Pan-specific,,,P15336,
9261L,,Jun,S63,,,P05412,
9341,,p90RSK,RSK1-3,,,Q15418,
9344L,,RSK1/3 (p90RSK),T359+S363/T356+S360,,,Q15418,
9375,,PKCa (PRKCA)/PKCb2 (PRKCB2),T638/T641,,,P17252,
9375L,,PKCa,T638/T641,,,P17252,
9377,,PKCt (PRKCQ; PKC-q; PKC-theta),T538,,,Q04759,
9378,,PKCz (PRKCZ)/PKCl (PRKClambda),T410/T403,,,Q05513,
9521S,,CDC25A,S216,,,P30304,
9591L,,MSK1 (RPS6KA5),S376,,,O75582,
9595L,,MSK1,S376,,,O75582,
AAP-104,,CASP4 (Caspase 4),Pan-specific,,,P49662,
AB10424,,Bad,S99,,,Q92934,
AF1518,,RSK2 (RPS6KA3),Pan-specific,,,P51812,
AHF0262,,PARP1,Pan-specific,,,P09874,
AHO0352,,IKKa (IkBKA),Pan-specific,,,O15111,
AHO1011,,ErbB2 (Neu; HER2),Pan-specific,,,P04626,
AHP846,,SMC1,S957,,,Q14683,
AHZ0122,,CDK1 (CDC2),Pan-specific,,,P06493,
AHZ0352,,CDKN2C (p18; p18 INK4c),Pan-specific,,,P42773,
AP2001a,,Dok1,Pan-specific,,,Q99704,
AP2014b,,NT5E (NT5; NTE; CD73),Pan-specific,,,P21589,
AP3213a,,Plk3 (CNK; FNK),Pan-specific,,,Q9H4B4,
AP7000b,,AurKC (Aurora C; AurC; AIK3),Pan-specific,,,Q9UQB9,
AP7003a,,GRK1 (Rhodopsin kinase),Pan-specific,,,Q15835,
AP7005a,,GRK3 (BARK2),Pan-specific,,,P35626,
AP7007a,,GRK5 (GPRK5),Pan-specific,,,P34947,
AP7008a,,GRK6 (GPRK6),,,,P43250,
AP7030c,,AKT3,Pan-specific,,,Q9Y243,
AP7033a,,DAPK2,Pan-specific,,,Q9UIK4,
AP7034b,,DMPK1 (DMPK),Pan-specific,,,Q09013,
AP7035a,,LATS1,Pan-specific,,,O95835,
AP7039b,,PDK2 (PDHK2; PyDK2),Pan-specific,,,Q15119,
AP7044b,,PKM2,Pan-specific,,,P14618,
AP7045a,,AMPKb,Pan-specific,,,Q9Y478,
AP7214a,,DLK (DAPK; ZPK; MAP3K12; MUK),Pan-specific,,,Q12852,
AP7217b,,DLK (DAPK; ZPK; MAP3K12; MUK),Pan-specific,,,Q12852,
AP7218a,,DAPK2,Pan-specific,,,Q9UIK4,
AP7219a,,DCAMLK1 (CaMKinase VI; DCLK1),Pan-specific,,,O15075,
AP7231 b,,MARK1,Pan-specific,,,Q9P0L2,
AP7240a,,STK12,Pan-specific,,,Q96GD4,
AP7252a,,Plk2 (SNK),Pan-specific,,,Q9NYY3,
AP7400a,,CK1a (CSNK1A1),Pan-specific,,,P48729,
AP7402a,,CK1d (CSNK1D),Pan-specific,,,P48730,
AP7403a,,CK1e (CSNK1E),Pan-specific,,,P49674,
AP7405a,,CK1g2 (CSNK1G2),Pan-specific,,,P78368,
AP7406a,,CK1g3 (CSNK1G3),Pan-specific,,,P78368,
AP7408c,,Vrk1,Pan-specific,,,Q99986,
AP7500a,,ERK1 (MAPK3; ERT2),Pan-specific,,,P27361,
AP7501a,,ERK2 (MAPK1; ERT1),Pan-specific,,Extracellular regulated protein-serine kinase 2 (p42 MAP kinase),P28482,
AP7502a,,ERK3 (MAPK6),Pan-specific,,,Q16659,
AP7503a,,ERK4 (MAPK4),Pan-specific,,,P31152,
AP7504a,,ERK5 (MAPK7; BMK),Pan-specific,,,Q13164,
AP7511a,,MAPK12,Pan-specific,,,P53778,
AP7512a,,CDK15 (PFTAIRE2; ALS2CR7),Pan-specific,,,Q96Q40,
AP7514a,,CDC2L5 (CHED; CDK13),Pan-specific,,,Q14004,
AP7518b,,CDK2,Pan-specific,,,P24941,
AP7524a,,CDK8,Pan-specific,,,P49336,
AP7529a,,CLK1,Pan-specific,,,P49759,
AP7530a,,CLK2,Pan-specific,,,P49760,
AP7531a,,CLK3,Pan-specific,,,P49761,
AP7532a,,CLK4,Pan-specific,,,Q9HAZ1,
AP7534a,,DYRK2,Pan-specific,,,Q92630,
AP7535a,,DYRK3,Pan-specific,,,O43781,
AP7536b,,DUSP4 (MKP2; VH2),Pan-specific,,,Q13115,
AP7538b,,DYRK1B,Pan-specific,,,Q9Y463,
AP7541b,,ICK,Pan-specific,,,Q9UPZ9,
AP7542b,,MAK,Pan-specific,,,P20794,
AP7547b,,PCTAIRE1 (CDK16; PCTK1),Pan-specific,,,Q00536,
AP7602a,,Axl (UFO),,,,P30530,
AP7606a,,EphA1,Pan-specific,,,P21709,
AP7606b,,EphA1 (N-term.),Pan-specific,,,P21709,
AP7607b,,EphA2,Pan-specific,,,P29317,
AP7608a,,EphA3,Pan-specific,,,P29320,
AP7608b,,EphA3,Pan-specific,,,P29320,
AP7609a,,EphA4,Pan-specific,,,P54764,
AP7609b,,EphA4,Pan-specific,,,P54764,
AP7610a,,EphA5,Pan-specific,,,P54756,
AP7610b,,EphA5,Pan-specific,,,P54756,
AP7611a,,EphA6,Pan-specific,,,Q9UF33,
AP7611b,,EphA6,Pan-specific,,,Q9UF33,
AP7612a,,EphA7,Pan-specific,,,Q15375,
AP7612b,,EphA7,Pan-specific,,,Q15375,
AP7613a,,EphA8,Pan-specific,,,P29322,
AP7613b,,EphA8,Pan-specific,,,P29322,
AP7622a,,EphB1,Pan-specific,,,P54762,
AP7623a,,EphB2,Pan-specific,,,P29323,
AP7623b,,EphB2,Pan-specific,,,P29323,
AP7624a,,EphB3,Pan-specific,,,P54753,
AP7625a,,EphB4,Pan-specific,,,P54760,
AP7627a,,EphB6,Pan-specific,,,O15197,
AP7627b,,EphB6,Pan-specific,,,O15197,
AP7628a,,EGFR (ErbB1),Pan-specific,,,P00533,
AP7628b,,EGFR (ErbB1),Pan-specific,,,P00533,
AP7629a,,ErbB2 (Neu; HER2),Pan-specific,,,P04626,
AP7629b,,ErbB2 (Neu; HER2),Pan-specific,,,P04626,
AP7630a,,ErbB3 (HER3),,,,P21860,
AP7631a,,ErbB4 (HER4),Pan-specific,,,Q15303,
AP7636a,,FGFR1 (FLT2),Pan-specific,,,P11362,
AP7637b,,FGFR2 (BEK),Pan-specific,,,P21802,
AP7638a,,FGFR3,Pan-specific,,,P22607,
AP7639a,,FGFR4,Pan-specific,,,P22455,
AP7642a,,VEGFR1 (Flt1),Pan-specific,,,P17948,
AP7642b,,VEGFR1 (Flt1),Pan-specific,,,P17948,
AP7643a,,FGFR1 (FLT2),Pan-specific,,,P11362,
AP7644a,,FLT3 (STK1; CD135),Pan-specific,,,P36888,
AP7644b,,FLT3 (STK1; CD135),Pan-specific,,,P36888,
AP7645a,,VEGFR3 (Flt4),Pan-specific,,,P35916,
AP7645b,,VEGFR3 (Flt4),Pan-specific,,,P35916,
AP7649a,,IGF1R,Pan-specific,,,P08069,
AP7651b,,ILK1 (ILK),Pan-specific,,,Q13418,
AP7672a,,ROR2 (RON2),Pan-specific,,,Q01974,
AP7676a,,Ros (ROS1),Pan-specific,,,P08922,
AP7677a,,RYK (JTK5A),Pan-specific,,,P34925,
AP7677b,,RYK,Pan-specific,,,P34925,
AP7681a,,STK33,Pan-specific,,,Q8NEF5,
AP7683a,,DDR2 (Tyro10),Pan-specific,,,Q16832,
AP7684a,,TIE2 (TEK),Pan-specific,,,Q02763,
AP7697a,,BLK,Pan-specific,,,P51451,
AP7701a,,EphA2,Pan-specific,,,P29317,
AP7703a,,PYK2 (PTK2B; FAK2),Pan-specific,,,Q14289,
AP7704b,,Fer (TYK3),Pan-specific,,,P16591,
AP7705a,,Fes,Pan-specific,,,P07332,
AP7708a,,Frk,Pan-specific,,,P42685,
AP7709a,,Fyn,Pan-specific,,,P06241,
AP7802b,,IRAK1,Pan-specific,,,P51617,
AP7804b,,IRAK3,Pan-specific,,,Q9Y616,
AP7805a,,IRAK4,Pan-specific,,,Q9NWZ3,
AP7808b,,ANKRD3 (RIPK4; DIK),Pan-specific,,,P57078,
AP7901a,,GCK (MAP4K2),Pan-specific,,,Q12851,
AP7902a,,"TAO3 (JIK, TAOK3)",Pan-specific,,,Q9H2K8,
AP7905a,,MEK2 (MAP2K2; MKK2),Pan-specific,,,P36507,
AP7907a,,MEKK1 (MAP3K1),Pan-specific,,,Q13233,
AP7908a,,MEKK2 (MAP3K2),Pan-specific,,,Q9Y2U5,
AP7910a,,MEKK4 (MAP3K4),Pan-specific,,,Q9Y6R4,
AP8004a,,NIK (MAP3K14; NLK; LAK1),Pan-specific,,,Q99558,
AP8009a,,p70S6Kb (S6Kb2; RPS6KB2),Pan-specific,,,Q9UBS0,
AP8026a,,PI3KR4 N-term.,Pan-specific,,,Q99570,
AP8026b,,PI3KR4,Pan-specific,,,Q99570,
AP8030a,,PI4KCB,Pan-specific,,,Q5VWC1,
AP8030b,,PI4KCB C-term.,Pan-specific,,,Q5VWC1,
AP8041b,,PIP5K2a (PIP5K2A),Pan-specific,,,P48426,
AP8044b,,Plk3 (CNK; FNK),Pan-specific,,,Q9H4B4,
AP8052a,,CHAK1 (TRPM7),Pan-specific,,,Q96QT4,
AP8052b,,CHAK1,Pan-specific,,,Q96QT4,
AP8053b,,CHAK2 (TRPM6),Pan-specific,,,Q9BX84,
AP8053c,,CHAK2 (TRPM6),Pan-specific,,,Q9BX84,
AP8058b,,BUB1A,Pan-specific,,,O43683,
AP8060b,,DGKz,Pan-specific,,,Q13574,
AP8062a,,GCN2 (EIF2AK4),Pan-specific,,,Q9P2K8,
AP8063a,,RACK1 (GNB2L1),Pan-specific,,,P63244,
AP8064c,,Haspin,Pan-specific,,,Q8TF76,
AP8074c,,Nek2,Pan-specific,,,P51955,
AP8076b,,Nek4,Pan-specific,,,P51957,
AP8078a,,Nek7,Pan-specific,,,Q8TDX7,
AP8084c,,NME7 (nm23-H7),Pan-specific,,,Q9Y5B8,
AP8096a,,PRKAR2A (PRKAR2; PKR2),Pan-specific,,,P13861,
AP8101b,,Tlk1,Pan-specific,,,Q9UKI8,
AP8103a,,TTK,Pan-specific,,,P33981,
AP8108a,,IKKa (IkBKA),Pan-specific,,,O15111,
AP8126a,,DGKd (DGK-D),Pan-specific,,,Q16760,
AP8126b,,DGKd (DGK-D),Pan-specific,,,Q16760,
AP8134a,,AK2,Pan-specific,,,P54819,
AT-7052,,MKK3 (MAP2K3; MEK3); MKK6 (MAP2K6),S218/S207,,,P46734,
B13003,,SG2NA,Pan-specific,,,Q13033,
B13007,,I1PP2A (ANP32A/B; PHAPI),Pan-specific,,,P39687,
B13008,,I2PP2A (PHAPII),Pan-specific,,,Q01105,
B50263,,TPPb,Pan-specific,,,Q6XPS3,
B50263-51,,TPPb (C-term.),Pan-specific,,,Q6XPS3,
B50270,,PTPN11 (PTP1D; PTP2C; SHP2; SHPTP2; Syp),Pan-specific,,,Q06124,
B50270-51,,PTPD1,Pan-specific,,,Q16825,
B50279,,PTPN11 (PTP1D; PTP2C; SHP2; SHPTP2; Syp),Pan-specific,,,Q06124,
B50279-51,,SHP2,Pan-specific,,,O15357,
B50301-51,,PPP1CB (PP1/Cb),Pan-specific,,,P62140,
B50309,,PPP2R5B (PP2A-B56-B; PP2A/Bb),Pan-specific,,,A0A024R593,
B50318,,PPP4C (PP4C; PP4X),Pan-specific,,,P60510,
B50319,,PPP5C (PP5C; PP5; PPT),Pan-specific,,,P53041,
B63620,,Bmx,Pan-specific,,,P51813,
B63620 610793,,Bmx (Etk),Pan-specific,,,P51813,
C14520 610080,,Csk,Pan-specific,,,P41240,
C150M,,CDK6,Pan-specific,,,Q00534,
C22420 610204,,COX2,Pan-specific,,,P35354,
C25820 610250,,CDC34,Pan-specific,,,P49427,
C27220 610266,,CD45 (PTPRC; Receptor-type tyrosine-protein phosphatase C),Pan-specific,,,P08575,
C38720 612145,,Cofilin 1 (CFL1),Pan-specific,,,P23528,
C42920 610483,,Cas (CSE1L; Exportin-2),Pan-specific,,,P55060,
C45820 610528,,CDC25B,Pan-specific,,,P30305,
C70820 610928,,CDC42,Pan-specific,,,P60953,
CAMK1g,,CAMK1g,Pan-specific,,,Q96NX5,
CC17-100,,Cyclin A (CCNA; CLNA),Pan-specific,,,P78396,
CN001,,Actin,Pan-specific,,Actin,P60709,NP_001092.1
CN002,,Tubulin,Pan-specific,,Tubulin,Q71U36,NP_006000.2
CN003,,pThr(MmAb),pThr,,pThr(MmAb),,
CN004,,pThr(RpAb),pThr,,pThr(RpAb),,
CN005,,4G10,pTyr,,4G10,Q8NGN3,
DB002,,Bcl-xL,Pan-specific,,,Q07817,
DB005,,Bax,Pan-specific,,,Q07812,
DB025,,Fos,Pan-specific,,,P01100,
DB030,,STAT4,Pan-specific,,,Q14765,
DB032,,STAT5B,Pan-specific,,,P51692,
DB033,,NFKB p65 (Rel A),Pan-specific,,,Q04206,
DB035,,NFkappaB p50,Pan-specific,,,P19838,
DB037,,STAT1,Pan-specific,,,P42224,
DB038,,STAT6,Pan-specific,,,P42226,
DB040,,Trail,Pan-specific,,,P50591,
DB047,,RBL1 (p107; Rb-like 1),Pan-specific,,,P28749,
DB049,,ErbB2 (Neu; HER2),Pan-specific,,,P04626,
DB075,,IkBa (MAD3; IkBa),Pan-specific,,,P25963,
DB076,,IkBb (IkBb),Pan-specific,,,Q15653,
DB077,,CTNNB1 (Catenin-b),Pan-specific,,,P35222,
F37720,,FasL,Pan-specific,,,P48023,
H00004254-MOI,,SFC (Kit Ligand),Pan-specific,,,,
H65520,,HSF4,Pan-specific,,,Q9ULV5,
H65520  610831,,HSF4,Pan-specific,,,Q9ULV5,
H75420,,hHR23B,Pan-specific,,,P54727,
H98620,,HspBP1,Pan-specific,,,Q9NZL4,
H98620 611543,,HspBP1,Pan-specific,,,Q9NZL4,
IMG-136A,,IKKa (IkBKA),Pan-specific,,,O15111,
IMG-139,,TBK1 (IKKd),Pan-specific,,,Q9UHD2,
IMG-424,,TAK1 (MAP3K7),Pan-specific,,,O43318,
IMG-575,,MST1 (STK4; Krs2),Pan-specific,,,Q13043,
J31920,,Jun (c-Jun),Pan-specific,,,P05412,
Jun-20,,Akt1 (PKBa),Y474,,,P31749,
Jun-32,,STAT5A,Y694,,,P42229,
KAM-CC242,,TP73 (p73),Pan-specific,,Cellular tumor antigen p53,P04637,NP_000537.3
KAM-CC246,,VIM (Vimentin),S34,,,P08670,
KAM-ST002,,GSK3a,Pan-specific,,,P49840,
KAP-CC002,,CDK5,Pan-specific,,,Q00535,
KAP-CC006E,,CDK6,Pan-specific,,,Q00534,
KAP-CC015,,CDK1 (CDC2),Y15,,,P06493,
KAP-MA001,,ERK1 (MAPK3; ERT2),Pan-specific,,,P27361,
KAP-MA007E,,ERK2 (MAPK1; ERT1),Pan-specific,,Extracellular regulated protein-serine kinase 2 (p42 MAP kinase),P28482,
KAP-MA009,,p38a MAPK (MAPK14; CSBP; MXI2; SAPK2a),Pan-specific,,,Q16539,
KAP-MA010E,,MEK1 (MAP2K1; MKK1),Pan-specific,,,Q02750,
KAP-MA023,,MEK1 (MAP2K1; MKK1),S298,,,Q02750,
KAP-MA025,,MEK1 (MAP2K1; MKK1),T386,,,Q02750,
KAP-PI001E,,DNAPK (PRKDC),Pan-specific,,,P78527,
KAP-PK011,,PKCg (PRKCG),T514,,,P05129,
KAP-PK012,,PKCg (PRKCG),T674,,,P05129,
KAP-SA001,,MEKK1 (MAP3K1),Pan-specific,,,Q13233,
KAP-ST002,,GSK3b,Pan-specific,,,P49841,
KAP-ST009E,,TAK1 (MAP3K7),Pan-specific,,,O43318,
KAP-ST012,,GSK3,T216+T279,,,P49840,
KAP-ST203,,ILK1 (ILK),Pan-specific,,,Q13418,
KAP-ST205,,IRAK2,Pan-specific,,,O43187,
KAP-TF105,,Jun (c-Jun),S73,,,P05412,
KAP-TF115,,IKKa (IkBKA),Pan-specific,,,O15111,
KAP-TF118,,IKKb (IkBKB; IKKB),Pan-specific,,,O14920,
KAP-TK121,,Src,Pan-specific,,,P12931,
KalCTNB5,,CTNNB1 (Catenin-b),Pan-specific,,,P35222,
L33420 610351,,LAR (PTPRF),Pan-specific,,,P10586,
M037-3,,DFF45,Pan-specific,,,O00273,
M070-3,,CASP6 (Caspase 6),Pan-specific,,,P55212,
M24520 610236,,MEK2 (MAP2K2; MKK2),Pan-specific,,,P36507,
M34520 610361,,MSH2,Pan-specific,,,P43246,
M77120,,MST1,Pan-specific,,,Q13043,
M77120 611053,,MST1 (STK4; Krs2),Pan-specific,,,Q13043,
M77320  611056,,MST3 (STK24),Pan-specific,,,Q9Y6E0,
NBA-115,,GFAP,S8,,,P14136,
NK001,,Abl,Pan-specific,,Abelson proto-oncogene-encoded protein-tyrosine kinase,P00519,NP_005148 
NK001-2,,Abl (Abl1),Pan-specific,,Abelson murine leukemia viral oncogene homologue 1,P00519,NP_005148
NK001-4,,Abl1-3,Pan-specific,,,,
NK001-5,,Abl (Abl1),Pan-specific,,,P00519,
NK001-6,,Abl (Abl1),Pan-specific,,,P00519,
NK002,,ACK1,Pan-specific,,Activated p21cdc42Hs protein-serine kinase,Q07912,NP_005772
NK003,,ALK,Pan-specific,,Anaplastic lymphoma kinase,Q9UM73,NP_004295.2
NK003-2,,ALK,Pan-specific,,,Q9UM73,
NK003-3,,ALK,Pan-specific,,,Q9UM73,
NK004,,ALS2CR7 (PFTAIRE2),Pan-specific,,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein-serine kinase 7,Q96Q40,NP_631897
NK004-2,,CDK15 (PFTAIRE2; ALS2CR7),Pan-specific,,,Q96Q40,
NK004-3,,CDK15 (PFTAIRE2; ALS2CR7),Pan-specific,,,Q96Q40,
