antibody,Target Name,Target Uniprot ID,Pan or P-Site,mean Normalized Sham,mean Normalized Sham Apo,mean Normalized Smoke Treated,mean Normalized Smoke Treated Apocynin,error Normalized Sham,error Normalized Sham Apo,error Normalized Smoke Treated,error Normalized Smoke Treated Apocynin,log2fc Sham vs. Sham Apo,log2fc Sham vs. Smoke Treated,log2fc Smoke Treated vs. Smoke Treated Apocynin,pval Sham vs. Sham Apo,pval Sham vs. Smoke Treated,pval Smoke Treated vs. Smoke Treated Apocynin,significant Sham vs. Sham Apo,significant Sham vs. Smoke Treated,significant Smoke Treated vs. Smoke Treated Apocynin
sc-6865,YSK1 (STK25; SOK1),O00506,Pan-specific,232.0,1479.5,547.6666666666666,1282.6666666666667,0.34770114942528735,0.3671285344147797,0.7319943193345507,0.34797297297297297,0.17843214642260335,0.6385895214822105,-0.7181591400279588,0.6071734087587775,0.07037434151618746,0.03622660883930437,0.0,0.0,0.0
sc-6884,YSK1 (STK25; SOK1),O00506,Pan-specific,1034.6666666666667,1306.8333333333333,1581.1666666666667,1092.8333333333333,0.3869201030927834,0.3189644178038516,0.35933382523453145,0.21946011895684003,0.17843214642260335,0.6385895214822105,-0.7181591400279588,0.6071734087587775,0.07037434151618746,0.03622660883930437,0.0,0.0,0.0
PK859,"YSK1 (STK25, SOK1)",O00506,T174,16864.333333333332,12397.666666666666,11176.0,10925.333333333334,0.18974298157189073,0.39414226691402504,0.2060665712240515,0.2064620453990725,-0.4439066678804757,-0.5935713622141315,-0.03272662865031815,0.171340448165702,0.02174863502092144,0.8849936290814988,0.0,0.0,0.0
PP553,PPP6C,O00743,Y261,5437.833333333333,9200.0,7130.166666666667,10065.333333333334,0.1349495816348423,0.4252536231884057,0.22241960995145824,0.15098026228639552,0.7586019269563455,0.39090386564845686,0.49738724576313725,0.11495247563789664,0.08460755635157631,0.023494075347958453,0.0,0.0,0.0
PN700,FBPase 2 (FBP2),O00757,Y216,3064.5,2667.5,2684.5,4309.0,0.07837058791537499,0.2244298656669791,0.2708760166387285,0.16879399706041617,-0.20016343374259618,-0.1909982998938461,0.6826996935498452,0.2920101019095799,0.3962797323223943,0.010257343643732925,0.0,0.0,0.0
PN751,FBPase 2 (FBP2),O00757,Y259,1312.6666666666667,2047.0,2116.0,5438.0,0.3772642627391231,0.22862725940400588,0.24826717076244487,0.3967757754076254,0.641010491843013,0.688839016933628,1.3617365239107342,0.06805843715757538,0.06319145899999926,0.02350980260964984,0.0,0.0,1.0
PN734,ACACB (ACC2),O00763,T1342,2940.6666666666665,3735.0,2933.8333333333335,8056.5,0.14962593516209474,0.2995091477019188,0.08686019428506504,0.5477357827013386,0.34496498330553826,-0.003356343708963364,1.457366306214592,0.24540020275302432,0.9793981388874292,0.0631215751160273,0.0,0.0,0.0
PN728,SOCS7,O14512,Y561,9472.333333333334,13172.666666666666,19049.833333333332,9604.333333333334,0.6236525084749738,0.40456669534558093,0.388268197155414,0.4041231388609308,0.4757556777670676,1.0079866199552985,-0.9880209951333162,0.3626693968629011,0.07672622482027586,0.06397021939956045,0.0,0.0,0.0
NK106-3,MKK7 (MAP2K7; MEK7),O14733,Pan-specific,1926.3333333333333,2052.0,2214.6666666666665,1954.0,0.5051623694987598,0.22433398310591293,0.2713224964880594,0.2291026953258274,-0.05290121587380316,-0.17813926376582664,0.3194619450611587,0.46307880005934865,0.3550080674469891,0.2667892100021287,0.0,0.0,0.0
NK106-4,MKK7 (MAP2K7; MEK7),O14733,Pan-specific,3557.0,3990.8333333333335,3302.3333333333335,6501.166666666667,0.11170461999812575,0.21728962205053248,0.09370478786043539,0.24039275001922736,-0.05290121587380316,-0.17813926376582664,0.3194619450611587,0.46307880005934865,0.3550080674469891,0.2667892100021287,0.0,0.0,0.0
NK106-5,MKK7 (MAP2K7; MEK7),O14733,Pan-specific,5076.833333333333,3805.3333333333335,3284.0,3673.8333333333335,0.21218388540538177,0.2764540995094604,0.11520503451075925,0.1410273858670175,-0.05290121587380316,-0.17813926376582664,0.3194619450611587,0.46307880005934865,0.3550080674469891,0.2667892100021287,0.0,0.0,0.0
PK717,MKK7 (MAP2K7; MEK7),O14733,T275,9132.833333333334,8456.833333333334,14174.166666666666,10148.333333333334,0.549348808633076,0.27045847210999646,0.16159288219961984,0.36326709366617393,-0.11094495915560657,0.6341295075038621,-0.48202110592972014,0.8160478465527923,0.11544413700413886,0.08955693779014742,0.0,0.0,0.0
PN549,PRMT5,O14744,T634,4922.5,5971.166666666667,4654.166666666667,4061.0,0.26568478076857965,0.15836287343809605,0.16547896150402863,0.0740375933678076,0.27862163152312847,-0.08086833125203269,-0.19668784761255784,0.25676696981429753,0.7329530845778708,0.20915261112694175,0.0,0.0,0.0
sc-7235,Chk1 (CHEK1),O14757,Pan-specific,184.66666666666666,481.5,323.3333333333333,528.3333333333334,0.16967509025270758,0.6296296296296297,0.5529209621993127,0.294006309148265,0.14926328639448425,0.33036108917665774,-0.4175001528873368,0.595771564722291,0.46681587579656897,0.39286869562985216,0.0,0.0,0.0
sc-7898,Chk1 (CHEK1),O14757,Pan-specific,4039.1666666666665,5204.833333333333,4623.666666666667,3557.5,0.32139467711986797,0.42137116142047454,0.6947348184461587,0.5869290231904426,0.14926328639448425,0.33036108917665774,-0.4175001528873368,0.595771564722291,0.46681587579656897,0.39286869562985216,0.0,0.0,0.0
sc-8408,Chk1 (CHEK1),O14757,Pan-specific,2312.1666666666665,2206.8333333333335,3193.1666666666665,2326.5,0.1315264662774214,0.2518691941696246,0.3339074760338918,0.2147001934235977,0.14926328639448425,0.33036108917665774,-0.4175001528873368,0.595771564722291,0.46681587579656897,0.39286869562985216,0.0,0.0,0.0
PK577,Chk1 (CHEK1),O14757,S280,2363.1666666666665,2219.6666666666665,3142.5,4584.833333333333,0.14394527117568237,0.21324523201681936,0.20365950676213207,0.24061216329201354,-0.09037834218179067,0.4111913630300783,0.5449565456535429,0.644075635191093,0.06754047568682356,0.05524945964415829,0.0,0.0,0.0
PK578,Chk1 (CHEK1),O14757,S317,9103.0,11361.333333333334,8747.166666666666,18838.5,0.3115456442930902,0.1501095333098619,0.23643846578892214,0.09778733267864569,0.31971816951693205,-0.05752629778115904,1.1067964081110728,0.2263964932842491,0.8472188368073225,2.4183832883645192e-05,0.0,0.0,1.0
PK579,Chk1 (CHEK1),O14757,S345,1358.1666666666667,1390.0,2451.0,1831.6666666666667,0.16877326461324502,0.2282973621103118,0.4553243574051407,0.47801031240521685,0.03342435298352763,0.8517099542394975,-0.4202135037514024,0.8735564666436897,0.11250121542738033,0.4056178242528501,0.0,0.0,0.0
NN604-1,NRP1[293-309],O14786,Pan-specific,1445.3333333333333,6946.5,1018.0,6352.166666666667,0.2158671586715867,0.4179082991434535,0.1941715782580223,0.3176169111151926,0.8315549467954362,-0.2865318530668603,1.6839618299810422,0.015325072738539518,0.41293798752953365,0.0509175361570068,1.0,0.0,1.0
NN604-2,NRP1,O14786,Pan-specific,3819.5,2516.8333333333335,3645.1666666666665,6031.0,0.186455469738622,0.12824757742312873,0.2511697377044183,0.38556347758801746,0.8315549467954362,-0.2865318530668603,1.6839618299810422,0.015325072738539518,0.41293798752953365,0.0509175361570068,1.0,0.0,1.0
NK257-1,BCKD (BCKDK),O14874,Pan-specific,2641.3333333333335,2998.3333333333335,1690.5,8408.666666666666,0.11244321049974759,0.2326107096535112,0.2647145814847678,0.3197230370781469,0.25189724603219377,0.10103456263010975,0.531242894872955,0.17564832111979264,0.2705203670081158,0.08269908181440727,0.0,0.0,1.0
NK257-2,BCKD (BCKDK),O14874,Pan-specific,945.8333333333334,790.6666666666666,967.6666666666666,849.8333333333334,0.12287812041116004,0.14797639123102868,0.10988632449190494,0.16173105837745963,0.25189724603219377,0.10103456263010975,0.531242894872955,0.17564832111979264,0.2705203670081158,0.08269908181440727,0.0,0.0,1.0
NK257-3,BCKD (BCKDK),O14874,Pan-specific,1467.3333333333333,2610.8333333333335,2764.8333333333335,1910.3333333333333,0.279948508253824,0.210213852537504,0.21323366889706027,0.14110393764904325,0.25189724603219377,0.10103456263010975,0.531242894872955,0.17564832111979264,0.2705203670081158,0.08269908181440727,0.0,0.0,1.0
KAP-TF118,IKKb (IkBKB; IKKB),O14920,Pan-specific,1360.8333333333333,1452.1666666666667,1162.5,1350.3333333333333,0.1593386405388855,0.13324916791001948,0.18910394265232974,0.1955895663622151,0.4538781588411675,0.24156096888523435,-0.07686768169888815,0.2051036667023801,0.14521379599699488,0.3584473671122907,0.0,0.0,0.0
NK076-5,IKKb (IkBKB; IKKB),O14920,Pan-specific,7222.5,11169.333333333334,8168.833333333333,7340.0,0.09112726433598707,0.21051689148859976,0.11247356143608157,0.18301544050862853,0.4538781588411675,0.24156096888523435,-0.07686768169888815,0.2051036667023801,0.14521379599699488,0.3584473671122907,0.0,0.0,0.0
NK076-6,IKKb-NT,O14920,Pan-specific,1314.3333333333333,2046.6666666666667,2248.0,1835.6666666666667,0.13061120973877757,0.2929967426710098,0.2059608540925267,0.41220265117123667,0.4538781588411675,0.24156096888523435,-0.07686768169888815,0.2051036667023801,0.14521379599699488,0.3584473671122907,0.0,0.0,0.0
PN519,HGS (Hrs),O14964,Y216,5502.333333333333,4442.333333333333,4874.166666666667,6976.166666666667,0.21275822378384932,0.14169230384432605,0.1725081210463327,0.17539081475818463,-0.30872589079125223,-0.17488795804151208,0.517278924516449,0.1588072265956292,0.4314742094821522,0.03324571073883384,0.0,0.0,0.0
NK008-3,"AurKA (Aurora A, AIK, STK15)",O14965,Pan-specific,1462.5,2910.8333333333335,3096.3333333333335,2004.5,0.44011396011396015,0.2580589750930432,0.22194710589586242,0.3444749314043402,0.8738738195148165,0.6249124127557454,0.467176087287724,0.08574366020834451,0.16312371987281363,0.11701769147900475,1.0,1.0,1.0
NK008-4,"AurKA (Aurora A, AIK, STK15)",O14965,Pan-specific,598.8333333333334,1263.5,844.5,1889.0,0.05371555802950181,0.26183880754517874,0.516084468127097,0.420681136403741,0.8738738195148165,0.6249124127557454,0.467176087287724,0.08574366020834451,0.16312371987281363,0.11701769147900475,1.0,1.0,1.0
NK008-5,AurKA (Aurora A; ARK-1; AIK; STK15),O14965,Pan-specific,1155.5,1510.8333333333333,936.1666666666666,2589.3333333333335,0.2273186210875523,0.3052399338113624,0.33671592190374455,0.4382938551321662,0.8738738195148165,0.6249124127557454,0.467176087287724,0.08574366020834451,0.16312371987281363,0.11701769147900475,1.0,1.0,1.0
PK529,"AurKA (Aurora A, AIK, STK15)",O14965,T287+T288,5014.333333333333,4930.666666666667,5485.0,3715.5,0.30488156174521924,0.25338020551649537,0.2039501671224552,0.19737137217960796,-0.024275180081191585,0.12943371652632385,-0.5619352513230361,0.9370237930177612,0.660291378198357,0.036570558155296765,0.0,0.0,0.0
NP049-1,MYPT1 (MBS),O14974,Pan-specific,925.5,1598.6666666666667,1095.3333333333333,2848.6666666666665,0.33369349900954437,0.3327078120656102,0.4031243659971597,0.4546766518449177,0.6494319753241296,0.341498749491049,1.1413508840999682,0.09301792750555066,0.2543318512989201,0.06369148922370756,0.0,0.0,0.0
PP543,PPP1R12A (MYPT1; MBS),O14974,Y496,13413.5,14562.333333333334,21007.833333333332,12854.166666666666,0.4709558777848188,0.14423817916847878,0.3039263132006315,0.28028957320367365,0.11855580769906592,0.6472416452554838,-0.7086912921567229,0.7328074037013417,0.1247284253151994,0.06973210815097147,0.0,0.0,0.0
PP544,PPP1R12A (MYPT1; MBS),O14974,Y766,13778.166666666666,9218.666666666666,10912.833333333334,6900.0,0.13544375763587319,0.253977437084177,0.1886871216864955,0.10772946859903382,-0.5797539267217162,-0.33635821295479834,-0.6613574547552664,0.024185807661049635,0.10904673544762115,0.011215475766720641,0.0,0.0,0.0
AP7219a,DCAMLK1 (CaMKinase VI; DCLK1),O15075,Pan-specific,1152.8333333333333,1329.3333333333333,1003.8333333333334,994.1666666666666,0.2676497518191895,0.3220494817786694,0.3023410260667441,0.15071248952221292,0.20551895331379713,-0.01564401131265203,-0.1979803071891562,0.533609606116261,0.952429038176595,0.32049189323492283,0.0,0.0,0.0
71-2300,IKKa (IkBKA),O15111,Pan-specific,665.0,1524.5,404.0,1119.0,0.47669172932330833,0.6197660435115339,0.3952145214521452,0.2225201072386059,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
AHO0352,IKKa (IkBKA),O15111,Pan-specific,2295.1666666666665,2356.5,1659.3333333333333,2033.3333333333333,0.196136809236802,0.11853737888110899,0.16452390518280433,0.14120218579234972,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
KAP-TF115,IKKa (IkBKA),O15111,Pan-specific,3648.5,3292.1666666666665,2843.8333333333335,4869.0,0.13640308802704307,0.16561197455238866,0.23284299361190883,0.1953173136167591,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
sc-7190,IKKa (IkBKA),O15111,Pan-specific,,906.0,,588.6666666666666,,0.19389256806475352,,0.3148357870894677,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
sc-7218,IKKa (IkBKA),O15111,Pan-specific,842.6666666666666,1734.6666666666667,3939.6666666666665,1840.0,0.43802742616033763,0.28567768383294906,0.13985954818512564,0.11195652173913044,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
sc-7606,IKKa (IkBKA),O15111,Pan-specific,1952.6666666666667,2784.1666666666665,5150.0,3208.8333333333335,0.3448275862068965,0.46471116432205933,0.22200647249190938,0.4921310964525008,0.25834612468201057,0.5967210130469338,-0.17796494511513483,0.4392874058079568,0.042352141877062946,0.055915502725502095,0.0,1.0,1.0
PK659,IKKa (IkBKA),O15111,T179+S180,8941.333333333334,11209.666666666666,8258.166666666666,10196.5,0.18917138880604434,0.14028566614132643,0.3412177844154272,0.1690449337190866,0.3261814909326543,-0.11466844707069591,0.3041805843751144,0.09677999642001099,0.6852796631272153,0.26245743278092426,0.0,0.0,0.0
PK953,MuSK,O15146,Y554,1445.0,1902.8333333333333,548.6666666666666,2598.6666666666665,0.10403690888119954,0.14212723716095882,0.26974483596597815,0.3808790832905764,0.397079710660291,-1.1564472865347464,2.0031493836834393,0.02748995738868585,9.045893647748302e-05,0.014720593386505035,0.0,1.0,1.0
PK872,MUSK,O15146,Y756,3839.0,3362.8333333333335,3585.1666666666665,3359.0,0.18546496483459232,0.1685747798648626,0.1400833681992159,0.11035030266944527,-0.1910532815082582,-0.09869037191753921,-0.0940083926949116,0.36703306900769694,0.6226713213978041,0.5528377013558695,0.0,0.0,0.0
AP7627a,EphB6,O15197,Pan-specific,1671.6666666666667,1271.1666666666667,1339.5,1019.5,0.2418743768693918,0.15432017831388486,0.2515864128406122,0.18064410658819682,-0.11320013638237307,-0.13272022462029065,-0.2607108064199945,0.3880610429483183,0.5619521756859667,0.3763903983100617,0.0,0.0,0.0
AP7627b,EphB6,O15197,Pan-specific,786.8333333333334,1185.3333333333333,1094.8333333333333,1002.1666666666666,0.5437407328955729,0.34486314210723656,0.24549652407773884,0.16214867786462664,-0.11320013638237307,-0.13272022462029065,-0.2607108064199945,0.3880610429483183,0.5619521756859667,0.3763903983100617,0.0,0.0,0.0
NK121-2,p38d MAPK (MAPK13),O15264,Pan-specific,804.1666666666666,1643.3333333333333,1018.0,2019.8333333333333,0.5510880829015544,0.2603786342123056,0.18402095612311722,0.18178067497318262,0.3659808723270201,0.48065084420048604,-0.1248437862949426,0.31323038431794464,0.32816329610720557,0.061705631263639614,0.0,0.0,0.0
NK121-3,p38d MAPK (MAPK13),O15264,Pan-specific,7653.833333333333,6919.166666666667,11054.666666666666,8054.166666666667,0.311144016433305,0.23762495483560156,0.19905117999437147,0.3412519399896534,0.3659808723270201,0.48065084420048604,-0.1248437862949426,0.31323038431794464,0.32816329610720557,0.061705631263639614,0.0,0.0,0.0
NK121-4,p38d MAPK (MAPK13),O15264,Pan-specific,2156.1666666666665,3305.5,4239.166666666667,2262.0,0.5988508412563448,0.3931830787072052,0.39076076272852367,0.4226348364279399,0.3659808723270201,0.48065084420048604,-0.1248437862949426,0.31323038431794464,0.32816329610720557,0.061705631263639614,0.0,0.0,0.0
PK888,p38d MAPK (MAPK13),O15264,S261+T265,33208.833333333336,22543.333333333332,24322.333333333332,19101.5,0.19103852890546189,0.1647592291389423,0.06522126440719779,0.17111221631809018,-0.5588661870614265,-0.4492854014942246,-0.34859570413693686,0.023278189269549453,0.042975983273769655,0.03605025981958806,0.0,0.0,0.0
PK960,p38d,O15264,T180+pY182,1148.8333333333333,1800.3333333333333,1085.8333333333333,3215.5,0.11330335122588135,0.31327531938529907,0.15896648759273477,0.1102472399315814,0.6480945329739165,-0.0813668365225772,1.566240411404427,0.10563904161450524,0.6484148663201448,6.175638915393175e-06,0.0,0.0,1.0
PK743,p38d MAPK (MAPK13),O15264,Y182,1788.6666666666667,1739.8333333333333,1296.0,2052.8333333333335,0.15200646042986707,0.26353098955838683,0.3220164609053498,0.3635084300830829,-0.039935443602114554,-0.46481883565474014,0.6635507835863331,0.8572765049552049,0.08163160080279609,0.11237642199128242,0.0,0.0,0.0
sc-7263,Wip1 (PPM1D),O15297,Pan-specific,738.6666666666666,1805.0,1457.6666666666667,1433.5,0.338748495788207,0.29658356417359183,0.5594938638615748,0.3283339146610859,0.24630408114511693,-0.37761241675099405,-0.14311842452140355,0.5480132969480511,0.3078890358219458,0.33782231366676896,0.0,0.0,0.0
sc-7264,Wip1 (PPM1D),O15297,Pan-specific,1059.0,1395.1666666666667,905.3333333333334,819.8333333333334,0.3893610324205225,0.3771751682395572,0.1480117820324006,0.09602222673985232,0.24630408114511693,-0.37761241675099405,-0.14311842452140355,0.5480132969480511,0.3078890358219458,0.33782231366676896,0.0,0.0,0.0
PN861,p73 (TP73),O15350,Y99,3484.1666666666665,3655.3333333333335,5241.0,4679.833333333333,0.16334210316511202,0.1827466715301842,0.17458500286204923,0.19883186723173904,0.0691893353652994,0.5890284714275721,-0.16338495811054327,0.7103438305100644,0.011959134837780744,0.4159693956144741,0.0,0.0,0.0
B50279-51,SHP2,O15357,Pan-specific,2374.3333333333335,3099.1666666666665,1798.1666666666667,3814.0,0.1509663531283635,0.28842878910101283,0.2924583680909569,0.20048942492571228,-0.14593550998789576,-0.19583773354333261,0.4591327822713199,0.16890582470195373,0.20519909922664317,0.13560161444545513,0.0,0.0,1.0
NP045-1,SHIP2 (INPPL1),O15357,Pan-specific,2636.5,1363.1666666666667,2294.3333333333335,1935.8333333333333,0.4053353562172071,0.1089375229245629,0.19831468836263255,0.2976323719328455,-0.14593550998789576,-0.19583773354333261,0.4591327822713199,0.16890582470195373,0.20519909922664317,0.13560161444545513,0.0,0.0,1.0
NP045-2,SHIP2 (INPPL1),O15357,Pan-specific,2850.6666666666665,4063.5,4681.833333333333,3158.6666666666665,0.5567898347365139,0.3238177269185021,0.2776334057171337,0.4394259181089067,-0.14593550998789576,-0.19583773354333261,0.4591327822713199,0.16890582470195373,0.20519909922664317,0.13560161444545513,0.0,0.0,1.0
NP045-3,SHIP2 (INPPL1),O15357,Pan-specific,2072.3333333333335,1437.3333333333333,1008.3333333333334,3290.5,0.25832395045842044,0.2806122448979592,0.23471074380165288,0.3764878691181684,-0.14593550998789576,-0.19583773354333261,0.4591327822713199,0.16890582470195373,0.20519909922664317,0.13560161444545513,0.0,0.0,1.0
PN534,SHIP2 (INPPL1),O15357,Y886,9785.666666666666,6615.0,6196.333333333333,9740.833333333334,0.3668630990905066,0.3262786596119929,0.3187368874065308,0.31474605754698143,-0.5649289839680648,-0.6592553841089471,0.6526304445317719,0.17285504769379162,0.1245228241406648,0.08481280982483373,0.0,0.0,0.0
PN617,MAFG,O15525,Pan-specific,78384.5,61628.333333333336,66558.83333333333,37962.0,0.11422113640664501,0.3233523541661032,0.16577981551826745,0.1681242646154927,-0.346974623820364,-0.23593825380942252,-0.8100741439474136,0.19650947744601005,0.13964939535864082,0.0018015395683661456,0.0,0.0,0.0
NK126-3,PDK1 (PDPK1),O15530,Pan-specific,7533.166666666667,4460.5,5145.666666666667,4702.0,0.1102531766926997,0.2546799686133841,0.30308134136598214,0.15185027647809443,-0.31420977393170463,-0.3420717815391081,0.1135462608978075,0.47084285439860474,0.11695313402746363,0.1816805562958047,0.0,0.0,1.0
NK126-4,PDK1 (PDPK1),O15530,Pan-specific,3733.1666666666665,3722.0,4333.166666666667,3381.8333333333335,0.11147819099066923,0.2202221028121082,0.10205520725156096,0.23098910847173623,-0.31420977393170463,-0.3420717815391081,0.1135462608978075,0.47084285439860474,0.11695313402746363,0.1816805562958047,0.0,0.0,1.0
NN179-1,PDK1 (PDHK1),O15530,Pan-specific,26493.166666666668,21585.166666666668,22395.5,15595.5,0.2319025660704961,0.38245914761423094,0.12674421200687638,0.3105169226165667,-0.31420977393170463,-0.3420717815391081,0.1135462608978075,0.47084285439860474,0.11695313402746363,0.1816805562958047,0.0,0.0,1.0
NN179-2,PDK1 (PDHK1),O15530,Pan-specific,4999.333333333333,4349.5,2889.3333333333335,7970.666666666667,0.2653909410143575,0.32241253783959845,0.21981233656360558,0.18904037024645923,-0.31420977393170463,-0.3420717815391081,0.1135462608978075,0.47084285439860474,0.11695313402746363,0.1816805562958047,0.0,0.0,1.0
PK760,PDK1 (PDPK1),O15530,S241,9070.0,10896.833333333334,11021.166666666666,6981.0,0.10363836824696804,0.27782791126881917,0.14803837061008865,0.16864823568734186,0.26473448665414073,0.2811024953679529,-0.658771334657333,0.35994403420970256,0.11894759022980277,0.00764885520893534,0.0,0.0,0.0
KAP-ST205,IRAK2,O43187,Pan-specific,2042.6666666666667,2447.0,1825.1666666666667,2626.0,0.12423846823324626,0.10175725378013895,0.23166834079079535,0.16184310738766183,0.26056030487558873,-0.16242558559303955,0.5248387052821254,0.06389047023222484,0.3954468813170652,0.022248226274122977,0.0,0.0,0.0
PN649,RBM9 iso6,O43251,T7,15856.0,12707.833333333334,17281.666666666668,10246.666666666666,0.25424655230406995,0.3501645966398678,0.16186710386729672,0.17498373454782043,-0.3193107936840634,0.12421349198152533,-0.7540876953110363,0.32418242301831446,0.5878178474025388,0.0030303904743109286,0.0,0.0,0.0
KAP-ST009E,TAK1 (MAP3K7),O43318,Pan-specific,3752.8333333333335,4250.833333333333,2854.8333333333335,2383.1666666666665,0.21758375153587659,0.11929686989479187,0.44711697511043647,0.19155185677320094,0.35194446784256256,-0.3904442128661849,0.006653801460732772,0.2069144893987325,0.18004578388846607,0.4247065706184847,0.0,0.0,0.0
NK175-3,TAK1,O43318,Pan-specific,2271.0,3265.8333333333335,1737.5,2100.6666666666665,0.09305739028328196,0.25928383090924556,0.26004796163069543,0.22098804612292397,0.35194446784256256,-0.3904442128661849,0.006653801460732772,0.2069144893987325,0.18004578388846607,0.4247065706184847,0.0,0.0,0.0
sc-7967,TAK1 (MAP3K7),O43318,Pan-specific,306.5,330.6666666666667,252.5,328.6666666666667,0.35997824904839587,0.323252688172043,0.4508250825082509,0.37795807978363766,0.35194446784256256,-0.3904442128661849,0.006653801460732772,0.2069144893987325,0.18004578388846607,0.4247065706184847,0.0,0.0,0.0
PK824,TAK1 (MAP3K7),O43318,S439,5957.166666666667,9683.833333333334,8300.333333333334,10040.166666666666,0.36983465293903706,0.43531315078395255,0.2095498172764146,0.40960475423714754,0.7009519269372662,0.47854295220061976,0.2745420382421095,0.15397420704282527,0.1407908545409783,0.4624011859061521,0.0,0.0,0.0
PK825,TAK1 (MAP3K7),O43318,T184+T187,3759.0,3484.5,4039.1666666666665,2775.3333333333335,0.18781590848629956,0.14114889749844547,0.2550581115466612,0.11782368484266155,-0.10939726051305286,0.10370876128958954,-0.5413966189135441,0.5471538587851992,0.6640703477336608,0.05722461935521514,0.0,0.0,0.0
